-28.293,79.707,1.75,496.32,1,
-31.9,79,1.75,496.87,1,
-79,79,1.75,503.93,1,
-79,54.019,1.75,507.68,0,
-79,54.019,21.75,508.28,0,
29,54.019,21.75,511.52,0,
29,54.019,1.75,512.12,1,
29,53.941,1.75,512.13,1,
29,29,1.75,515.87,1,
76.1,29,1.75,522.94,1,
79.707,28.293,1.75,523.49,1,
79,31.9,1.75,524.04,1,
79,79,1.75,531.11,1,
31.9,79,1.75,538.17,1,
28.293,79.707,1.75,538.72,1,
29,76.1,1.75,539.27,1,
29,54.019,1.75,542.59,0,
29,54.019,21.75,543.19,0,
29,0.031526,21.75,544.8,0,
29,0.031526,1.75,545.4,1,
29,-25,1.75,549.16,1,
76.1,-25,1.75,556.22,1,
79.707,-25.707,1.75,556.78,1,
79,-22.1,1.75,557.33,1,
79,22.1,1.75,563.96,1,
79.707,25.707,1.75,564.51,1,
76.1,25,1.75,565.06,1,
31.9,25,1.75,571.69,1,
28.293,25.707,1.75,572.24,1,
29,22.1,1.75,572.79,1,
29,0.031526,1.75,576.1,0,
29,0.031526,21.75,576.7,0,
-25,54.019,21.75,578.99,0,
-25,54.019,1.75,579.59,1,
-25,29,1.75,583.35,1,
22.1,29,1.75,590.41,1,
25.707,28.293,1.75,590.96,1,
25,31.9,1.75,591.51,1,
25,76.1,1.75,598.14,1,
25.707,79.707,1.75,598.7,1,
22.1,79,1.75,599.25,1,
-22.1,79,1.75,605.88,1,
-25.707,79.707,1.75,606.43,1,
-25,76.1,1.75,606.98,1,
-25,54.031,1.75,610.29,1,
-25,54.019,1.75,610.29,0,
-25,54.019,21.75,610.89,0,
-25,-3.1608,21.75,612.61,0,
-25,-3.1608,1.75,613.21,1,
-25,-25,1.75,616.48,1,
22.1,-25,1.75,623.55,1,
25.707,-25.707,1.75,624.1,1,
25,-22.1,1.75,624.65,1,
25,25,1.75,631.72,1,
-22.1,25,1.75,638.78,1,
-25.707,25.707,1.75,639.33,1,
-25,22.1,1.75,639.88,1,
-25,0.029525,1.75,643.19,1,
-25,-3.1608,1.75,643.67,0,
