-28.293,79.707,0,303.38,1,,
-31.9,79,0,303.94,1,,
-79,79,0,311,1,,
-79,54.019,0,314.75,0,,
-79,54.019,20,315.35,0,,
-79,-53.982,20,318.59,0,,
-79,-53.982,0,319.19,1,,
-79,-79,0,322.94,1,,
-31.9,-79,0,330.01,1,,
-28.293,-79.707,0,330.56,1,,
-29,-76.1,0,331.11,1,,
-29,-29,0,338.17,1,,
-76.1,-29,0,345.24,1,,
-79.632,-28.368,0,345.78,1,,
-79,-31.9,0,346.32,1,,
-79,-53.982,0,349.63,0,,
-79,-53.982,20,350.23,0,,
-79,-1.78E-15,20,351.85,0,,
-79,-1.78E-15,0,352.45,1,,
-79,-22.1,0,355.76,1,,
-79.707,-25.707,0,356.31,1,,
-76.1,-25,0,356.86,1,,
-31.9,-25,0,363.49,1,,
-28.352,-25.695,0,364.04,1,,
-28.293,-25.707,0,364.05,1,,
-29,-22.1,0,364.6,1,,
-29,25,0,371.66,1,,
-76.1,25,0,378.73,1,,
-79.707,25.707,0,379.28,1,,
-79,22.1,0,379.83,1,,
-79,-1.78E-15,0,383.15,0,,
-79,-1.78E-15,20,383.75,0,,
-25,0.029525,20,385.37,0,,
-25,0.029525,0,385.97,1,,
-25,-25,0,389.72,1,,
22.1,-25,0,396.78,1,,
25.707,-25.707,0,397.34,1,,
25,-22.1,0,397.89,1,,
25,25,0,404.95,1,,
-22.1,25,0,412.02,1,,
-25.707,25.707,0,412.57,1,,
-25,22.1,0,413.12,1,,
-25,0.029525,0,416.43,0,,
-25,0.029525,20,417.03,0,,
-25,54.019,21.75,417.63,0,,
-25,54.019,1.75,418.23,1,,
-25,29,1.75,421.98,1,,
22.1,29,1.75,429.05,1,,
25.707,28.293,1.75,429.6,1,,
25,31.9,1.75,430.15,1,,
25,76.1,1.75,436.78,1,,
25.707,79.707,1.75,437.33,1,,
22.1,79,1.75,437.88,1,,
-22.1,79,1.75,444.51,1,,
-25.707,79.707,1.75,445.07,1,,
-25,76.1,1.75,445.62,1,,
-25,54.031,1.75,448.93,1,,
-25,54.019,1.75,448.93,0,,
-25,54.019,21.75,449.53,0,,
29,0.031526,21.75,451.82,0,,
29,0.031526,1.75,452.42,1,,
29,-25,1.75,456.17,1,,
76.1,-25,1.75,463.24,1,,
79.707,-25.707,1.75,463.79,1,,
79,-22.1,1.75,464.34,1,,
79,22.1,1.75,470.97,1,,
79.707,25.707,1.75,471.52,1,,
76.1,25,1.75,472.07,1,,
31.9,25,1.75,478.7,1,,
28.293,25.707,1.75,479.26,1,,
29,22.1,1.75,479.81,1,,
29,0.031526,1.75,483.12,0,,
29,0.031526,21.75,483.72,0,,
29,-54,21.75,485.34,0,,
29,-54,1.75,485.94,1,,
29,-76.1,1.75,489.25,1,,
28.293,-79.707,1.75,489.81,1,,
31.9,-79,1.75,490.36,1,,
79,-79,1.75,497.42,1,,
79,-31.9,1.75,504.49,1,,
79.632,-28.368,1.75,505.02,1,,
76.1,-29,1.75,505.56,1,,
31.9,-29,1.75,512.19,1,,
28.293,-28.293,1.75,512.74,1,,
29,-31.9,1.75,513.3,1,,
29,-54,1.75,516.61,0,,
29,-54,21.75,517.21,0,,
-83,0,21.75,520.94,0,,
-83,0,1.75,521.54,1,,
-83,-83,1.75,533.99,1,,
83,-83,1.75,558.89,1,,
83,83,1.75,583.79,1,,
-83,83,1.75,608.69,1,,
-83,0,1.75,621.14,0,,
-83,0,21.75,621.74,0,,
29,54.019,21.75,625.47,0,,
29,54.019,1.75,626.07,1,,
29,53.941,1.75,626.08,1,,
29,29,1.75,629.82,1,,
76.1,29,1.75,636.89,1,,
79.707,28.293,1.75,637.44,1,,
79,31.9,1.75,637.99,1,,
79,79,1.75,645.06,1,,
31.9,79,1.75,652.12,1,,
28.293,79.707,1.75,652.67,1,,
29,76.1,1.75,653.22,1,,
29,54.019,1.75,656.54,0,,
29,54.019,21.75,657.14,0,,
-25,-54,21.75,660.76,0,,
-25,-54,1.75,661.36,1,,
-25,-76.1,1.75,664.67,1,,
-25.707,-79.707,1.75,665.23,1,,
-22.1,-79,1.75,665.78,1,,
22.1,-79,1.75,672.41,1,,
25.707,-79.707,1.75,672.96,1,,
25,-76.1,1.75,673.51,1,,
25,-29,1.75,680.58,1,,
-22.1,-29,1.75,687.64,1,,
-25.707,-28.293,1.75,688.19,1,,
-25,-31.9,1.75,688.74,1,,
-25,-54,1.75,692.06,0,,
-25,-54,21.75,692.66,0,,
-79,54.019,21.75,696.28,0,,
-79,54.019,1.75,696.88,1,,
-79,31.9,1.75,700.2,1,,
-79.707,28.293,1.75,700.75,1,,
-76.1,29,1.75,701.3,1,,
-31.9,29,1.75,707.93,1,,
-28.293,28.293,1.75,708.48,1,,
-29,31.9,1.75,709.03,1,,
-29,76.1,1.75,715.66,1,,
-28.293,79.707,1.75,716.22,1,,
-31.9,79,1.75,716.77,1,,
-79,79,1.75,723.83,1,,
-79,54.019,1.75,727.58,0,,
-79,54.019,21.75,728.18,0,,
-79,-53.982,21.75,731.42,0,,
-79,-53.982,1.75,732.02,1,,
-79,-79,1.75,735.77,1,,
-31.9,-79,1.75,742.84,1,,
-28.293,-79.707,1.75,743.39,1,,
-29,-76.1,1.75,743.94,1,,
-29,-29,1.75,751,1,,
-76.1,-29,1.75,758.07,1,,
-79.632,-28.368,1.75,758.61,1,,
-79,-31.9,1.75,759.15,1,,
-79,-53.982,1.75,762.46,0,,
-79,-53.982,21.75,763.06,0,,
-79,-1.78E-15,21.75,764.68,0,,
-79,-1.78E-15,1.75,765.28,1,,
-79,-22.1,1.75,768.59,1,,
-79.707,-25.707,1.75,769.14,1,,
-76.1,-25,1.75,769.7,1,,
-31.9,-25,1.75,776.33,1,,
-28.352,-25.695,1.75,776.87,1,,
-28.293,-25.707,1.75,776.88,1,,
-29,-22.1,1.75,777.43,1,,
-29,25,1.75,784.49,1,,
-76.1,25,1.75,791.56,1,,
-79.707,25.707,1.75,792.11,1,,
-79,22.1,1.75,792.66,1,,
-79,-1.78E-15,1.75,795.98,0,,
-79,-1.78E-15,21.75,796.58,0,,
-25,0.029525,21.75,798.2,0,,
-25,0.029525,1.75,798.8,1,,
-25,-25,1.75,802.55,1,,
22.1,-25,1.75,809.62,1,,
25.707,-25.707,1.75,810.17,1,,
25,-22.1,1.75,810.72,1,,
25,25,1.75,817.78,1,,
-22.1,25,1.75,824.85,1,,
-25.707,25.707,1.75,825.4,1,,
-25,22.1,1.75,825.95,1,,
-25,0.029525,1.75,829.26,0,,
-25,0.029525,21.75,829.86,0,,
-25,54.019,23.5,830.46,0,,
-25,54.019,3.5,831.06,1,,
-25,29,3.5,834.81,1,,
22.1,29,3.5,841.88,1,,
25.707,28.293,3.5,842.43,1,,
25,31.9,3.5,842.98,1,,
25,76.1,3.5,849.61,1,,
