-25,53.997,25.25,1312.2,0
-25,53.997,5.25,1312.8,1
-25,31.9,5.25,1316.1,1
-25.49,28.51,5.25,1316.7,1
-22.1,29,5.25,1317.2,1
22.1,29,5.25,1323.8,1
26.024,27.988,5.25,1324.4,1
25,31.9,5.25,1325,1
25,76.1,5.25,1331.6,1
25.707,79.707,5.25,1332.2,1
22.1,79,5.25,1332.8,1
-22.1,79,5.25,1339.4,1
-25.707,79.707,5.25,1339.9,1
-25,76.1,5.25,1340.5,1
-25,54.031,5.25,1343.8,1
-25,54.019,5.25,1343.8,1
-25,53.997,5.25,1343.8,0
-25,53.997,25.25,1344.4,0
-79,-1.7764e-15,25.25,1346.7,0
-79,-1.7764e-15,5.25,1347.3,1
-79,-22.1,5.25,1350.6,1
-79.707,-25.707,5.25,1351.2,1
-76.1,-25,5.25,1351.7,1
-31.9,-25,5.25,1358.3,1
-28.417,-25.886,5.25,1358.9,1
-27.985,-25.998,5.25,1358.9,1
-29,-22.1,5.25,1359.5,1
-29,22.1,5.25,1366.2,1
-28.449,25.551,5.25,1366.7,1
-31.9,25,5.25,1367.2,1
-76.1,25,5.25,1373.9,1
-79.707,25.707,5.25,1374.4,1
-79,22.1,5.25,1375,1
-79,-1.7764e-15,5.25,1378.3,0
-79,-1.7764e-15,25.25,1378.9,0
29,50.016,25.25,1382.4,0
29,50.016,5.25,1383,1
29,31.9,5.25,1385.8,1
28.328,28.328,5.25,1386.3,1
31.9,29,5.25,1386.9,1
76.1,29,5.25,1393.5,1
79.707,28.293,5.25,1394,1
79,31.9,5.25,1394.6,1
79,79,5.25,1401.6,1
31.9,79,5.25,1408.7,1
28.293,79.707,5.25,1409.3,1
29,76.1,5.25,1409.8,1
29,54.019,5.25,1413.1,1
29,53.941,5.25,1413.1,1
29,50.016,5.25,1413.7,0
29,50.016,25.25,1414.3,0
-25,0.41827,25.25,1416.5,0
-25,0.41827,5.25,1417.1,1
-25,0.029525,5.25,1417.2,1
-25,-3.1608,5.25,1417.7,1
-25,-22.1,5.25,1420.5,1
-25.805,-25.805,5.25,1421.1,1
-22.1,-25,5.25,1421.6,1
22.1,-25,5.25,1428.3,1
26.019,-26.003,5.25,1428.9,1
25,-22.1,5.25,1429.5,1
25,22.1,5.25,1436.1,1
25.594,25.594,5.25,1436.6,1
22.1,25,5.25,1437.2,1
-22.1,25,5.25,1443.8,1
-26.055,26.041,5.25,1444.4,1
-25,22.1,5.25,1445,1
-25,0.41827,5.25,1448.3,0
-25,0.41827,25.25,1448.9,0
-79,54.019,25.25,1451.2,0
-79,54.019,5.25,1451.8,1
-79,31.9,5.25,1455.1,1
-79.707,28.293,5.25,1455.6,1
-76.1,29,5.25,1456.2,1
-31.9,29,5.25,1462.8,1
-28.009,27.996,5.25,1463.4,1
-29,31.9,5.25,1464,1
-29,76.1,5.25,1470.7,1
-28.293,79.707,5.25,1471.2,1
-31.9,79,5.25,1471.8,1
-79,79,5.25,1478.8,1
-79,54.019,5.25,1482.6,0
-79,54.019,25.25,1483.2,0
-83,0,25.25,1484.8,0
-83,0,5.25,1485.4,1
-83,-83,5.25,1497.8,1
83,-83,5.25,1522.7,1
83,83,5.25,1547.6,1
-83,83,5.25,1572.5,1
-83,0,5.25,1585,0
-83,0,25.25,1585.6,0
-25,-52.333,25.25,1587.9,0
-25,-52.333,5.25,1588.5,1
-25,-54,5.25,1588.8,1
-25,-76.1,5.25,1592.1,1
-25.707,-79.707,5.25,1592.7,1
-22.1,-79,5.25,1593.2,1
22.1,-79,5.25,1599.8,1
25.707,-79.707,5.25,1600.4,1
25,-76.1,5.25,1600.9,1
